instance	class	precision	recall	predicted class size	real class size
genus	Desulfacinum	1.00	0.97	15124922	15571397
genus	Sphingopyxis	0.98	0.67	14575364	21432842
genus	Acidovorax	0.99	0.51	14250296	27755956
genus	Chryseobacterium	1.00	0.87	13960645	16089698
genus	Pseudorhodoferax	0.55	0.51	13290383	14205601
genus	Roseomonas	0.88	0.63	12976350	18074709
genus	Desulfotomaculum	1.00	0.95	12777015	13411937
genus	Duganella	0.50	0.97	12109451	6230033
genus	Prosthecobacter	1.00	0.99	12025685	12109280
genus	Lachnoclostridium	1.00	0.98	11817470	12031595
genus	Xanthomonas	0.99	0.99	10356108	10383935
genus	Arenibacter	1.00	0.99	10350293	10466050
genus	Rhodanobacter	0.74	0.98	9759007	7387216
genus	Vibrio	1.00	0.98	9742488	9949087
genus	Hymenobacter	1.00	0.99	9087210	9150525
genus	Cellulophaga	0.82	0.99	9033387	7462492
genus	Modestobacter	1.00	0.98	8924775	9129044
genus	Nonlabens	0.72	0.99	8768472	6451831
genus	Pedobacter	0.99	0.59	8726921	14567128
genus	Kitasatospora	1.00	0.54	8599645	15735445
genus	Goodfellowiella	1.00	0.95	8357055	8767230
genus	Actinokineospora	1.00	0.51	8096160	15747781
genus	Salegentibacter	0.78	0.24	8059054	26048522
genus	Brevundimonas	1.00	0.51	7751719	15193047
genus	Brenneria	1.00	0.79	7034749	8913891
genus	Leifsonia	1.00	0.30	6828111	22604141
genus	Larkinella	1.00	0.97	6798642	7015325
genus	Burkholderia	1.00	0.99	6706097	6798508
genus	Mesonia	0.96	0.70	6689018	9194581
genus	Pseudoxanthomonas	1.00	0.64	6683458	10407041
genus	Mycobacterium	1.00	0.53	6488224	12314286
genus	Rathayibacter	0.60	0.24	6428816	16237122
genus	Brevibacillus	1.00	0.97	6288944	6465663
genus	Desulfopila	0.96	0.99	6275220	6064646
genus	Curtobacterium	0.49	0.83	6185472	3637299
genus	Anaerovibrio	0.95	0.99	6097431	5824876
genus	Stackebrandtia	0.93	1.00	5971738	5546185
genus	Desulfosporosinus	0.94	1.00	5910041	5549747
genus	Arcicella	0.99	0.97	5800937	5919827
genus	Desulfitobacterium	0.99	1.00	5645745	5600379
genus	Mucilaginibacter	1.00	0.95	5640774	5936951
genus	Phycicoccus	1.00	0.45	5602064	12561698
genus	Parabacteroides	0.71	1.00	5508104	3908047
genus	Hwanghaeicola	0.88	0.99	5081398	4540469
genus	Pantoea	1.00	0.99	5066262	5113333
genus	Maribacter	1.00	0.54	5027299	9322952
genus	Phenylobacterium	0.98	0.37	4996527	13144738
genus	Marinomonas	0.99	0.98	4996463	5032852
genus	Williamsia	1.00	0.35	4929071	13974782
genus	Treponema	1.00	0.96	4821739	5025696
genus	Enterovibrio	0.99	0.95	4814873	5027516
genus	Desulforhopalus	0.99	0.95	4801669	5003741
genus	Parapedobacter	1.00	0.99	4772145	4828298
genus	Ponticoccus	1.00	1.00	4741559	4748324
genus	Marivirga	1.00	0.99	4683266	4738056
genus	Sphingobium	1.00	0.97	4669374	4819785
genus	Salmonella	1.00	0.98	4638220	4715983
genus	Fontibacter	0.97	0.98	4541960	4481558
genus	Angustibacter	0.84	0.99	4533057	3851283
genus	Aureimonas	0.95	0.50	4528361	8600960
genus	Desulfofustis	1.00	0.90	4502393	4974095
genus	Lactobacillus	1.00	0.69	4492237	6471053
genus	Nitrobacter	1.00	0.93	4490485	4804273
genus	Gemmobacter	1.00	0.91	4477175	4919248
genus	Geosporobacter	0.83	0.95	4445028	3855557
genus	Caenimonas	1.00	0.96	4432780	4594950
genus	Sanguibacter	1.00	1.00	4386495	4392776
genus	Rubritalea	1.00	0.99	4275546	4320165
genus	Porphyromonas	1.00	0.97	4271752	4390642
genus	Leeuwenhoekiella	1.00	0.88	4156838	4729287
genus	Elizabethkingia	1.00	0.97	4150919	4293831
