binner	rank	precision	recall	predidcted_size	real_size
stoic_albattani_0	order	0.00	nan	2250	0
stoic_albattani_0	order	0.00	nan	2250	0
stoic_albattani_0	order	0.00	nan	2250	0
stoic_albattani_0	order	0.00	nan	2250	0
stoic_albattani_0	order	0.00	nan	2100	0
stoic_albattani_0	order	0.00	nan	2100	0
stoic_albattani_0	order	0.00	nan	2100	0
stoic_albattani_0	order	0.00	nan	1950	0
stoic_albattani_0	order	0.00	nan	1500	0
stoic_albattani_0	order	0.00	nan	1350	0
stoic_albattani_0	order	0.00	nan	1350	0
stoic_albattani_0	order	0.00	nan	1200	0
stoic_albattani_0	order	0.00	nan	1050	0
stoic_albattani_0	order	0.00	nan	900	0
stoic_albattani_0	order	0.00	nan	900	0
stoic_albattani_0	order	0.00	nan	900	0
stoic_albattani_0	order	0.00	nan	750	0
stoic_albattani_0	order	0.00	nan	750	0
stoic_albattani_0	order	0.00	nan	750	0
stoic_albattani_0	order	0.00	nan	750	0
stoic_albattani_0	order	0.00	nan	600	0
stoic_albattani_0	order	0.00	nan	600	0
stoic_albattani_0	order	0.00	nan	600	0
stoic_albattani_0	order	0.00	nan	450	0
stoic_albattani_0	order	0.00	nan	450	0
stoic_albattani_0	order	0.00	nan	450	0
stoic_albattani_0	order	0.00	nan	450	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	nan	nan	7043680500	68563800
stoic_albattani_0	family	1.00	0.26	163059450	619960800
stoic_albattani_0	family	1.00	0.17	87675900	530276550
stoic_albattani_0	family	1.00	0.17	34981200	201328200
stoic_albattani_0	family	1.00	0.03	26086200	921986100
stoic_albattani_0	family	1.00	0.02	19374750	848095350
stoic_albattani_0	family	1.00	0.01	12427650	1225301700
stoic_albattani_0	family	1.00	0.00	4549350	1226155350
stoic_albattani_0	family	0.99	0.12	4281750	36426900
stoic_albattani_0	family	0.00	nan	2799150	0
stoic_albattani_0	family	0.93	0.32	2108100	6241350
stoic_albattani_0	family	0.00	nan	1958700	0
stoic_albattani_0	family	0.99	0.02	1063350	50509050
stoic_albattani_0	family	0.00	nan	541950	0
stoic_albattani_0	family	0.00	nan	495450	0
stoic_albattani_0	family	0.00	nan	480450	0
stoic_albattani_0	family	0.00	nan	388950	0
stoic_albattani_0	family	0.00	nan	334050	0
stoic_albattani_0	family	0.00	nan	295200	0
stoic_albattani_0	family	0.00	nan	288300	0
stoic_albattani_0	family	0.19	0.00	279900	21936600
stoic_albattani_0	family	0.37	0.01	256350	18328800
stoic_albattani_0	family	0.00	nan	174600	0
stoic_albattani_0	family	0.00	nan	157650	0
stoic_albattani_0	family	0.00	nan	124500	0
stoic_albattani_0	family	0.00	nan	115650	0
stoic_albattani_0	family	0.00	nan	105000	0
stoic_albattani_0	family	0.00	nan	98250	0
stoic_albattani_0	family	0.00	nan	88950	0
stoic_albattani_0	family	0.73	0.00	77850	28705350
stoic_albattani_0	family	0.00	nan	74400	0
stoic_albattani_0	family	0.00	nan	74100	0
stoic_albattani_0	family	0.00	nan	73500	0
stoic_albattani_0	family	0.00	nan	73500	0
stoic_albattani_0	family	0.00	nan	69150	0
stoic_albattani_0	family	0.00	nan	62400	0
stoic_albattani_0	family	0.00	nan	61500	0
stoic_albattani_0	family	0.00	nan	61200	0
stoic_albattani_0	family	0.00	nan	58350	0
stoic_albattani_0	family	1.00	0.00	56700	662834550
stoic_albattani_0	family	0.00	nan	50100	0
stoic_albattani_0	family	0.00	nan	49350	0
stoic_albattani_0	family	0.00	nan	48000	0
stoic_albattani_0	family	0.00	nan	46650	0
stoic_albattani_0	family	0.00	nan	44550	0
stoic_albattani_0	family	0.00	nan	43800	0
stoic_albattani_0	family	0.00	nan	43650	0
stoic_albattani_0	family	0.00	nan	38400	0
stoic_albattani_0	family	0.00	nan	38400	0
stoic_albattani_0	family	0.00	nan	35850	0
stoic_albattani_0	family	0.00	nan	32550	0
stoic_albattani_0	family	0.00	nan	30300	0
stoic_albattani_0	family	0.00	nan	25350	0
stoic_albattani_0	family	0.00	nan	24600	0
stoic_albattani_0	family	0.00	nan	23250	0
stoic_albattani_0	family	0.00	nan	23250	0
stoic_albattani_0	family	0.00	nan	21900	0
stoic_albattani_0	family	0.00	nan	21750	0
stoic_albattani_0	family	0.00	nan	19500	0
stoic_albattani_0	family	0.00	nan	19200	0
stoic_albattani_0	family	0.00	nan	19200	0
stoic_albattani_0	family	0.00	nan	18900	0
stoic_albattani_0	family	0.00	nan	18600	0
stoic_albattani_0	family	0.00	nan	18450	0
stoic_albattani_0	family	0.00	nan	18300	0
stoic_albattani_0	family	0.00	nan	17550	0
stoic_albattani_0	family	0.00	nan	16650	0
stoic_albattani_0	family	0.00	nan	16050	0
stoic_albattani_0	family	0.00	nan	14550	0
stoic_albattani_0	family	0.00	nan	12150	0
stoic_albattani_0	family	0.00	nan	12000	0
stoic_albattani_0	family	0.00	nan	11700	0
stoic_albattani_0	family	0.00	nan	10800	0
stoic_albattani_0	family	0.00	nan	10650	0
stoic_albattani_0	family	0.00	nan	10650	0
stoic_albattani_0	family	0.00	nan	10500	0
stoic_albattani_0	family	0.00	nan	9900	0
stoic_albattani_0	family	0.00	nan	9450	0
stoic_albattani_0	family	0.00	nan	9300	0
stoic_albattani_0	family	0.00	nan	9150	0
stoic_albattani_0	family	0.00	nan	9150	0
stoic_albattani_0	family	0.00	nan	9150	0
stoic_albattani_0	family	0.00	nan	8700	0
stoic_albattani_0	family	0.00	nan	8400	0
stoic_albattani_0	family	0.00	nan	8250	0
stoic_albattani_0	family	1.00	0.00	8100	5587650
stoic_albattani_0	family	0.00	nan	8100	0
stoic_albattani_0	family	0.00	nan	7350	0
stoic_albattani_0	family	0.00	nan	7050	0
stoic_albattani_0	family	0.00	nan	6750	0
stoic_albattani_0	family	0.00	nan	6450	0
stoic_albattani_0	family	0.00	nan	6450	0
stoic_albattani_0	family	0.00	nan	6300	0
stoic_albattani_0	family	0.00	nan	6300	0
stoic_albattani_0	family	0.00	nan	5850	0
stoic_albattani_0	family	0.00	nan	5550	0
stoic_albattani_0	family	0.00	nan	5550	0
stoic_albattani_0	family	0.00	nan	5550	0
stoic_albattani_0	family	0.00	nan	5400	0
stoic_albattani_0	family	0.00	nan	5100	0
stoic_albattani_0	family	0.00	nan	4950	0
stoic_albattani_0	family	0.00	nan	4800	0
stoic_albattani_0	family	0.00	nan	4650	0
stoic_albattani_0	family	0.00	nan	4650	0
stoic_albattani_0	family	0.00	nan	4650	0
stoic_albattani_0	family	0.00	nan	4500	0
stoic_albattani_0	family	0.00	nan	4200	0
stoic_albattani_0	family	0.00	nan	4050	0
stoic_albattani_0	family	0.00	nan	3750	0
stoic_albattani_0	family	0.00	nan	3750	0
stoic_albattani_0	family	0.00	nan	3600	0
stoic_albattani_0	family	0.00	nan	3600	0
stoic_albattani_0	family	0.00	nan	3600	0
stoic_albattani_0	family	0.00	nan	3450	0
stoic_albattani_0	family	0.00	nan	3300	0
stoic_albattani_0	family	0.00	nan	3150	0
stoic_albattani_0	family	0.00	nan	3150	0
stoic_albattani_0	family	0.00	nan	3150	0
stoic_albattani_0	family	0.00	nan	3000	0
stoic_albattani_0	family	0.00	nan	2850	0
stoic_albattani_0	family	0.00	nan	2850	0
stoic_albattani_0	family	0.00	nan	2850	0
stoic_albattani_0	family	0.00	nan	2700	0
stoic_albattani_0	family	0.00	nan	2700	0
stoic_albattani_0	family	0.00	nan	2550	0
stoic_albattani_0	family	0.00	nan	2550	0
stoic_albattani_0	family	0.00	nan	2550	0
stoic_albattani_0	family	0.00	nan	2550	0
stoic_albattani_0	family	0.00	nan	2550	0
stoic_albattani_0	family	0.00	nan	2550	0
stoic_albattani_0	family	0.00	nan	2550	0
stoic_albattani_0	family	0.00	nan	2400	0
stoic_albattani_0	family	0.00	nan	2400	0
stoic_albattani_0	family	0.00	nan	2400	0
stoic_albattani_0	family	0.00	nan	2400	0
stoic_albattani_0	family	0.00	nan	2400	0
stoic_albattani_0	family	0.00	nan	2250	0
stoic_albattani_0	family	0.00	nan	2250	0
stoic_albattani_0	family	0.00	nan	2250	0
stoic_albattani_0	family	0.00	nan	2250	0
stoic_albattani_0	family	0.00	nan	2250	0
stoic_albattani_0	family	0.00	nan	2250	0
stoic_albattani_0	family	0.00	nan	2100	0
stoic_albattani_0	family	0.00	nan	2100	0
stoic_albattani_0	family	0.00	nan	2100	0
stoic_albattani_0	family	0.00	nan	2100	0
stoic_albattani_0	family	0.00	nan	2100	0
stoic_albattani_0	family	0.00	nan	2100	0
stoic_albattani_0	family	0.00	nan	1950	0
stoic_albattani_0	family	0.00	nan	1950	0
stoic_albattani_0	family	0.00	nan	1950	0
stoic_albattani_0	family	0.00	nan	1950	0
stoic_albattani_0	family	0.00	nan	1800	0
stoic_albattani_0	family	0.00	nan	1800	0
stoic_albattani_0	family	0.00	nan	1800	0
stoic_albattani_0	family	0.00	nan	1800	0
stoic_albattani_0	family	0.00	nan	1800	0
stoic_albattani_0	family	0.00	nan	1800	0
stoic_albattani_0	family	0.00	nan	1650	0
stoic_albattani_0	family	0.00	nan	1650	0
stoic_albattani_0	family	0.00	nan	1500	0
stoic_albattani_0	family	0.00	nan	1500	0
stoic_albattani_0	family	0.00	nan	1500	0
stoic_albattani_0	family	0.00	nan	1500	0
stoic_albattani_0	family	0.00	nan	1500	0
stoic_albattani_0	family	0.00	nan	1500	0
stoic_albattani_0	family	0.00	nan	1350	0
stoic_albattani_0	family	0.00	nan	1350	0
stoic_albattani_0	family	0.00	nan	1350	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	1200	0
stoic_albattani_0	family	0.00	nan	1050	0
stoic_albattani_0	family	0.00	nan	1050	0
stoic_albattani_0	family	0.00	nan	1050	0
stoic_albattani_0	family	0.00	nan	900	0
stoic_albattani_0	family	0.00	nan	900	0
stoic_albattani_0	family	0.00	nan	900	0
stoic_albattani_0	family	0.00	nan	900	0
stoic_albattani_0	family	0.00	nan	900	0
stoic_albattani_0	family	0.00	nan	750	0
stoic_albattani_0	family	0.00	nan	750	0
stoic_albattani_0	family	0.00	nan	750	0
stoic_albattani_0	family	0.00	nan	750	0
stoic_albattani_0	family	0.00	nan	750	0
stoic_albattani_0	family	0.00	nan	750	0
stoic_albattani_0	family	0.00	nan	750	0
stoic_albattani_0	family	0.00	nan	750	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	600	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	450	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	300	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	0.00	nan	150	0
stoic_albattani_0	family	nan	nan	7118078850	630883500
stoic_albattani_0	genus	1.00	0.26	163025550	619960800
stoic_albattani_0	genus	0.99	0.26	80832600	305637750
stoic_albattani_0	genus	0.00	nan	70192950	0
stoic_albattani_0	genus	1.00	0.17	34777950	201328200
stoic_albattani_0	genus	0.00	nan	14234100	0
stoic_albattani_0	genus	0.00	nan	7071000	0
stoic_albattani_0	genus	1.00	0.01	5358750	921986100
stoic_albattani_0	genus	1.00	0.22	3554550	16135200
stoic_albattani_0	genus	0.00	nan	2799150	0
stoic_albattani_0	genus	0.00	nan	1984950	0
stoic_albattani_0	genus	1.00	0.31	1944600	6241350
stoic_albattani_0	genus	0.00	nan	1887000	0
stoic_albattani_0	genus	0.00	nan	1807200	0
stoic_albattani_0	genus	0.00	nan	1347150	0
stoic_albattani_0	genus	0.00	nan	1212000	0
stoic_albattani_0	genus	0.00	nan	1106700	0
stoic_albattani_0	genus	0.00	nan	748650	0
stoic_albattani_0	genus	0.00	nan	661500	0
stoic_albattani_0	genus	0.00	nan	589050	0
stoic_albattani_0	genus	1.00	0.01	574800	50509050
stoic_albattani_0	genus	0.00	nan	507600	0
stoic_albattani_0	genus	0.00	nan	495450	0
stoic_albattani_0	genus	0.00	nan	480450	0
stoic_albattani_0	genus	1.00	0.00	467250	848095350
stoic_albattani_0	genus	0.00	nan	466200	0
stoic_albattani_0	genus	0.00	nan	441600	0
stoic_albattani_0	genus	0.00	nan	380400	0
stoic_albattani_0	genus	0.00	nan	336600	0
stoic_albattani_0	genus	0.00	nan	315750	0
stoic_albattani_0	genus	0.00	nan	314850	0
stoic_albattani_0	genus	0.00	nan	293100	0
stoic_albattani_0	genus	0.00	nan	260850	0
stoic_albattani_0	genus	0.00	nan	258750	0
stoic_albattani_0	genus	0.00	nan	250200	0
stoic_albattani_0	genus	0.98	0.09	242700	2599050
stoic_albattani_0	genus	0.00	nan	230400	0
stoic_albattani_0	genus	0.99	0.01	224400	17692650
stoic_albattani_0	genus	0.02	0.00	221400	10848450
stoic_albattani_0	genus	0.91	0.00	204600	202044450
stoic_albattani_0	genus	0.00	nan	196050	0
stoic_albattani_0	genus	0.00	nan	189750	0
stoic_albattani_0	genus	0.00	nan	153450	0
stoic_albattani_0	genus	0.00	nan	152850	0
stoic_albattani_0	genus	0.00	nan	142800	0
stoic_albattani_0	genus	0.00	nan	124650	0
stoic_albattani_0	genus	0.00	nan	111750	0
stoic_albattani_0	genus	0.00	nan	108900	0
stoic_albattani_0	genus	0.00	nan	105750	0
stoic_albattani_0	genus	0.00	nan	91500	0
stoic_albattani_0	genus	0.00	nan	91200	0
stoic_albattani_0	genus	0.00	nan	86550	0
stoic_albattani_0	genus	0.00	nan	84750	0
stoic_albattani_0	genus	0.00	nan	81150	0
stoic_albattani_0	genus	0.00	nan	79650	0
stoic_albattani_0	genus	0.00	nan	75900	0
stoic_albattani_0	genus	0.00	nan	75750	0
stoic_albattani_0	genus	0.00	nan	75000	0
stoic_albattani_0	genus	0.00	nan	74400	0
stoic_albattani_0	genus	0.00	nan	74100	0
stoic_albattani_0	genus	0.00	nan	73800	0
stoic_albattani_0	genus	0.00	nan	73650	0
stoic_albattani_0	genus	0.00	nan	73500	0
stoic_albattani_0	genus	0.00	nan	73500	0
stoic_albattani_0	genus	0.00	nan	68850	0
stoic_albattani_0	genus	0.00	nan	68550	0
stoic_albattani_0	genus	0.00	nan	67200	0
