binner	rank	precision	recall	predicted_size	real_size
stoic_albattani_0	order	0.00	nan	750	0
stoic_albattani_0	order	0.00	nan	750	0
stoic_albattani_0	order	0.00	nan	600	0
stoic_albattani_0	order	0.00	nan	600	0
stoic_albattani_0	order	0.00	nan	450	0
stoic_albattani_0	order	0.00	nan	450	0
stoic_albattani_0	order	0.00	nan	450	0
stoic_albattani_0	order	0.00	nan	450	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	300	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	order	0.00	nan	150	0
stoic_albattani_0	family	1.00	0.01	12418800	1225301700
stoic_albattani_0	family	1.00	0.02	4979100	224638800
stoic_albattani_0	family	1.00	0.02	1048950	50509050
stoic_albattani_0	family	0.00	nan	419550	0
stoic_albattani_0	family	0.00	nan	123300	0
stoic_albattani_0	family	0.00	nan	116700	0
stoic_albattani_0	family	0.89	0.01	108300	18328800
stoic_albattani_0	family	0.21	0.00	103950	11088150
stoic_albattani_0	family	0.00	nan	90900	0
stoic_albattani_0	family	0.98	0.00	57900	28705350
stoic_albattani_0	family	0.00	nan	48000	0
stoic_albattani_0	family	0.00	nan	46200	0
stoic_albattani_0	family	0.00	nan	30600	0
stoic_albattani_0	family	0.00	nan	27150	0
stoic_albattani_0	family	0.00	nan	23250	0
stoic_albattani_0	family	0.00	nan	22200	0
stoic_albattani_0	family	0.00	nan	17550	0
stoic_albattani_0	family	0.00	nan	17400	0
stoic_albattani_0	family	0.00	nan	15300	0
stoic_albattani_0	family	0.00	nan	13200	0
stoic_albattani_0	family	0.00	nan	10800	0
stoic_albattani_0	family	0.00	nan	10050	0
stoic_albattani_0	family	0.00	nan	10050	0
stoic_albattani_0	family	0.00	nan	10050	0
stoic_albattani_0	family	0.00	nan	9900	0
stoic_albattani_0	family	0.00	nan	9300	0
stoic_albattani_0	family	0.00	nan	9150	0
stoic_albattani_0	family	0.00	nan	8550	0
stoic_albattani_0	family	0.00	nan	8100	0
stoic_albattani_0	family	0.00	nan	8100	0
