instance	class	precision	recall	predicted class size	real class size
genus	Plantibacter	1.00	1.00	7857866	7857866
genus	Bradyrhizobium	1.00	1.00	7705122	7705122
genus	Nitratireductor	1.00	1.00	7511489	7511489
genus	Cellulophaga	1.00	1.00	7462492	7462492
genus	Rhodanobacter	1.00	1.00	7387216	7387216
genus	Streptoalloteichus	1.00	1.00	7094726	7094726
genus	Larkinella	1.00	1.00	7015325	7015325
genus	Burkholderia	1.00	1.00	6798508	6798508
genus	Lactobacillus	1.00	1.00	6471053	6471053
genus	Brevibacillus	1.00	1.00	6465663	6465663
genus	Nonlabens	1.00	1.00	6451831	6451831
genus	Duganella	1.00	1.00	6230033	6230033
genus	Herbaspirillum	1.00	1.00	6135680	6135680
genus	Desulfopila	1.00	1.00	6064646	6064646
genus	Mucilaginibacter	1.00	1.00	5936951	5936951
genus	Arcicella	1.00	1.00	5919827	5919827
genus	Sphingobacterium	1.00	1.00	5863185	5863185
genus	Anaerovibrio	1.00	1.00	5824876	5824876
genus	Desulfitobacterium	1.00	1.00	5600379	5600379
genus	Desulfosporosinus	1.00	1.00	5549747	5549747
genus	Stackebrandtia	1.00	1.00	5546185	5546185
genus	Janthinobacterium	1.00	1.00	5312559	5312559
genus	Yonghaparkia	1.00	1.00	5244373	5244373
genus	Aminobacter	1.00	1.00	5241012	5241012
genus	Kaistia	1.00	1.00	5236188	5236188
genus	Pantoea	1.00	1.00	5113333	5113333
genus	Marinomonas	1.00	1.00	5032852	5032852
genus	Enterovibrio	1.00	1.00	5027516	5027516
genus	Treponema	1.00	1.00	5025696	5025696
genus	Desulforhopalus	1.00	1.00	5003741	5003741
genus	Desulfofustis	1.00	1.00	4974095	4974095
genus	Gemmobacter	1.00	1.00	4919248	4919248
genus	Azoarcus	1.00	1.00	4899927	4899927
genus	Parapedobacter	1.00	1.00	4828298	4828298
genus	Sphingobium	1.00	1.00	4819785	4819785
genus	Nitrobacter	1.00	1.00	4804273	4804273
genus	Ponticoccus	1.00	1.00	4748324	4748324
genus	Marivirga	1.00	1.00	4738056	4738056
genus	Leeuwenhoekiella	1.00	1.00	4729287	4729287
genus	Variovorax	1.00	1.00	4716816	4716816
genus	Salmonella	1.00	1.00	4715983	4715983
genus	Caenimonas	1.00	1.00	4594950	4594950
genus	Ramlibacter	1.00	1.00	4584229	4584229
genus	Alkalitalea	1.00	1.00	4548631	4548631
genus	Hwanghaeicola	1.00	1.00	4540469	4540469
genus	Fontibacter	1.00	1.00	4481558	4481558
genus	Hespellia	1.00	1.00	4394786	4394786
genus	Sanguibacter	1.00	1.00	4392776	4392776
genus	Porphyromonas	1.00	1.00	4390642	4390642
genus	Pseudogulbenkiania	1.00	1.00	4362870	4362870
genus	Cytophaga	1.00	1.00	4361637	4361637
genus	Rubritalea	1.00	1.00	4320165	4320165
genus	Elizabethkingia	1.00	1.00	4293831	4293831
genus	Propionivibrio	1.00	1.00	4252841	4252841
genus	Sporobacter	1.00	1.00	4196055	4196055
genus	Planktotalea	1.00	1.00	4153516	4153516
genus	Thiothrix	1.00	1.00	4145616	4145616
genus	Propionigenium	1.00	1.00	4107155	4107155
genus	Acinetobacter	1.00	1.00	4045422	4045422
genus	Stenotrophomonas	1.00	1.00	4032271	4032271
genus	Dethiosulfatibacter	1.00	1.00	4030129	4030129
genus	Desulfobotulus	1.00	1.00	3980756	3980756
genus	Afifella	1.00	1.00	3962251	3962251
genus	Acidocella	1.00	1.00	3960665	3960665
genus	Malonomonas	1.00	1.00	3960448	3960448
genus	Halomonas	1.00	1.00	3952422	3952422
genus	Parabacteroides	1.00	1.00	3908047	3908047
genus	Celeribacter	1.00	1.00	3865680	3865680
genus	Geosporobacter	1.00	1.00	3855557	3855557
genus	Angustibacter	1.00	1.00	3851283	3851283
genus	Sedimentibacter	1.00	1.00	3826005	3826005
genus	Marmoricola	1.00	1.00	3819951	3819951
genus	Oceanimonas	1.00	1.00	3735544	3735544
genus	Altererythrobacter	1.00	1.00	3690740	3690740
genus	Pelagicola	1.00	1.00	3642180	3642180
genus	Aquamicrobium	1.00	1.00	3638028	3638028
genus	Curtobacterium	1.00	1.00	3637299	3637299
genus	Knoellia	1.00	1.00	3604941	3604941
genus	Thalassobacter	1.00	1.00	3596730	3596730
genus	Geobacter	1.00	1.00	3568133	3568133
genus	Oceanospirillum	1.00	1.00	3508055	3508055
genus	Prevotella	1.00	1.00	3504004	3504004
genus	Pseudobutyrivibrio	1.00	1.00	3420207	3420207
genus	Comamonas	1.00	1.00	3356089	3356089
genus	Soonwooa	1.00	1.00	3329138	3329138
genus	Oceanicella	1.00	1.00	3280980	3280980
genus	Fibrobacter	1.00	1.00	3277440	3277440
genus	Azomonas	1.00	1.00	3274144	3274144
genus	Gemmiger	1.00	1.00	3238784	3238784
genus	Peptoclostridium	1.00	1.00	3196223	3196223
genus	Tissierella	1.00	1.00	3113870	3113870
genus	Mycoplasma	1.00	1.00	3100471	3100471
genus	Arenimonas	1.00	1.00	2978743	2978743
genus	Porphyrobacter	1.00	1.00	2978214	2978214
genus	Sporacetigenium	1.00	1.00	2976284	2976284
genus	Megasphaera	1.00	1.00	2911302	2911302
genus	Papillibacter	1.00	1.00	2888356	2888356
genus	Asaccharobacter	1.00	1.00	2880893	2880893
genus	Selenihalanaerobacter	1.00	1.00	2837595	2837595
genus	Eubacterium	1.00	1.00	2834267	2834267
genus	Pilibacter	1.00	1.00	2780066	2780066
genus	Caldanaerobius	1.00	1.00	2753972	2753972
genus	Succinivibrio	1.00	1.00	2664356	2664356
genus	Caloramator	1.00	1.00	2647357	2647357
genus	Cetobacterium	1.00	1.00	2553826	2553826
genus	Salinicoccus	1.00	1.00	2513181	2513181
genus	Desulfomicrobium	1.00	1.00	2483130	2483130
genus	Parasporobacterium	1.00	1.00	2440900	2440900
genus	Thermomonas	1.00	1.00	2439301	2439301
genus	Thermoanaerobacter	1.00	1.00	2406712	2406712
genus	Alkalibacter	1.00	1.00	2325618	2325618
genus	Kingella	1.00	1.00	2324531	2324531
genus	Marinitoga	1.00	1.00	2311198	2311198
genus	Thermosyntropha	1.00	1.00	2166976	2166976
genus	Fervidobacterium	1.00	1.00	2144384	2144384
genus	Atopostipes	1.00	1.00	2120985	2120985
genus	Thermodesulfovibrio	1.00	1.00	2114333	2114333
genus	Anaerosphaera	1.00	1.00	2020910	2020910
genus	Soehngenia	1.00	1.00	2001077	2001077
genus	Campylobacter	1.00	1.00	1820943	1820943
genus	Thermosipho	1.00	1.00	1635388	1635388
