"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"Sample18_113"	0	0	0	14109	"admiring_curie_2"
"strain"	"Sample9_19"	0	0	0	20128	"admiring_curie_2"
"strain"	"Sample22_570"	0	0	0	8899	"admiring_curie_2"
"strain"	"1030782"	0.961489364912	0.983925138348	2452777	2396848	"admiring_curie_2"
"strain"	"Sample6_55"	0	0	0	30382	"admiring_curie_2"
"strain"	"1052998"	0.542119303832	0.843856347457	3908944	2511226	"admiring_curie_2"
"strain"	"1052995"	0.551091830969	0.818867987826	10187108	6855845	"admiring_curie_2"
"strain"	"Sample15_73"	0	0	0	8195	"admiring_curie_2"
"strain"	"Sample23_22"	0	0	0	29517	"admiring_curie_2"
"strain"	"1036629"	0.991621171712	0.982141846415	2432321	2455797	"admiring_curie_2"
"strain"	"1035921"	0.381644126208	0.540432893595	3980546	2810991	"admiring_curie_2"
"strain"	"Sample24_109"	0	0	0	14122	"admiring_curie_2"
"strain"	"1048870"	0.681797596103	0.842644679727	13184341	10667666	"admiring_curie_2"
"strain"	"Sample9_7"	0	0	0	26683	"admiring_curie_2"
"strain"	"Sample15_102"	0	0	0	6334	"admiring_curie_2"
"strain"	"1053034"	0.142264450364	0.177425124643	3162083	2535447	"admiring_curie_2"
"strain"	"1036782"	0.546183001747	0.994351957902	5347173	2937124	"admiring_curie_2"
"strain"	"1036785"	1	0.870198528448	4334458	4980999	"admiring_curie_2"
"strain"	"1021_AS"	0.650969552805	0.995424367454	8525580	5575404	"admiring_curie_2"
"strain"	"1021_AQ"	0.349030447195	0.523806204412	8525580	5680893	"admiring_curie_2"
"strain"	"1021_AP"	1	0.994211022047	6638346	6676999	"admiring_curie_2"
"strain"	"1035951"	1	0.92861340836	2539116	2734309	"admiring_curie_2"
"strain"	"Sample22_214"	0	0	0	19460	"admiring_curie_2"
"strain"	"1036614"	1	0.942483606488	2342625	2485587	"admiring_curie_2"
"strain"	"1030869"	1	1	1534116	1534116	"admiring_curie_2"
"strain"	"Sample23_148"	0	0	0	15198	"admiring_curie_2"
"strain"	"1036716"	1	0.93918290189	2465743	2625413	"admiring_curie_2"
"strain"	"1139_AA"	0.898336410492	0.345425429947	1559339	4055321	"admiring_curie_2"
"strain"	"Sample19_61"	0	0	0	26456	"admiring_curie_2"
"strain"	"Sample15_101"	0	0	0	6486	"admiring_curie_2"
"strain"	"Sample22_114"	0	0	0	28011	"admiring_curie_2"
"strain"	"Sample18_349"	0	0	0	5977	"admiring_curie_2"
"strain"	"1036635"	1	0.986783380783	3225188	3268385	"admiring_curie_2"
"strain"	"Sample18_199"	0	0	0	8245	"admiring_curie_2"
"strain"	"1048861"	0.966417904819	0.920712682897	9280630	9741331	"admiring_curie_2"
"strain"	"Sample6_617"	0	0	0	8176	"admiring_curie_2"
"strain"	"Sample24_59"	0	0	0	19926	"admiring_curie_2"
"strain"	"1139_AL"	0.0153135399038	0.00495087686853	1559339	4823186	"admiring_curie_2"
"strain"	"1053055"	0.494428572304	0.995822709056	10123258	5026224	"admiring_curie_2"
"strain"	"Sample22_193"	0	0	0	20403	"admiring_curie_2"
