binner	rank	precision	recall	size
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	0.00	nan	0
pensive_curie_5	order	nan	nan	63428100
pensive_curie_5	family	0.95	0.59	566304750
pensive_curie_5	family	0.95	0.69	316285500
pensive_curie_5	family	0.95	0.74	291693750
pensive_curie_5	family	0.99	0.75	246487200
pensive_curie_5	family	0.97	0.44	369873900
pensive_curie_5	family	1.00	0.79	172897800
pensive_curie_5	family	0.95	0.32	387252300
pensive_curie_5	family	0.99	0.66	190395600
pensive_curie_5	family	0.96	0.23	507914850
pensive_curie_5	family	0.70	0.71	116790750
pensive_curie_5	family	0.87	0.65	149227500
pensive_curie_5	family	0.95	0.50	196408200
pensive_curie_5	family	0.96	0.23	438138600
pensive_curie_5	family	0.98	0.30	340420950
pensive_curie_5	family	0.90	0.55	166754550
pensive_curie_5	family	0.93	0.62	129826800
pensive_curie_5	family	0.91	0.70	88879650
pensive_curie_5	family	0.93	0.21	279050400
pensive_curie_5	family	0.82	0.53	97874400
pensive_curie_5	family	0.92	0.47	120460350
pensive_curie_5	family	0.96	0.36	158752500
pensive_curie_5	family	0.93	0.56	96078300
pensive_curie_5	family	0.78	0.29	145578300
pensive_curie_5	family	0.88	0.38	118437300
pensive_curie_5	family	0.97	0.96	43846950
pensive_curie_5	family	0.84	0.54	63731400
pensive_curie_5	family	0.97	0.29	130653600
pensive_curie_5	family	0.99	0.97	32066700
pensive_curie_5	family	0.98	0.57	38574300
pensive_curie_5	family	0.96	0.13	157825050
pensive_curie_5	family	0.64	0.32	42043200
pensive_curie_5	family	0.95	0.40	49138950
pensive_curie_5	family	0.14	0.29	9400200
pensive_curie_5	family	0.91	0.19	70211700
pensive_curie_5	family	0.90	0.12	109031100
pensive_curie_5	family	0.76	0.28	29719350
pensive_curie_5	family	0.75	0.16	50091000
pensive_curie_5	family	0.83	0.34	23484600
pensive_curie_5	family	0.98	0.41	19185300
pensive_curie_5	family	0.97	0.33	22083450
pensive_curie_5	family	0.70	0.26	19391400
pensive_curie_5	family	0.90	0.19	33783900
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.92	0.65	8450400
pensive_curie_5	family	0.56	0.22	14452200
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.95	0.79	6430800
pensive_curie_5	family	0.70	0.75	4844550
pensive_curie_5	family	0.85	0.06	73179750
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.88	0.48	8522100
pensive_curie_5	family	0.54	0.25	9114750
pensive_curie_5	family	0.87	0.25	14668050
pensive_curie_5	family	0.87	1.00	3060600
pensive_curie_5	family	0.21	0.06	10931400
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.91	0.09	27718650
pensive_curie_5	family	0.84	0.04	56018250
pensive_curie_5	family	0.93	0.09	26054550
pensive_curie_5	family	0.48	0.19	6281550
pensive_curie_5	family	0.83	0.75	2840850
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.41	0.23	3839850
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.40	0.02	32060550
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.65	0.20	5014200
pensive_curie_5	family	0.60	0.38	2387850
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.80	0.45	2358000
pensive_curie_5	family	0.75	0.01	103533750
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.77	0.02	54962850
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.09	0.03	2983800
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.75	0.01	44743350
pensive_curie_5	family	0.12	0.03	3620250
pensive_curie_5	family	0.81	0.04	14815650
pensive_curie_5	family	0.04	0.00	7517850
pensive_curie_5	family	0.11	0.01	5746650
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.18	0.03	3545250
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.78	0.01	44124000
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.87	0.05	7008300
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.19	0.01	5584650
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.42	0.03	4770150
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.06	0.00	9432300
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.86	0.04	7102200
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.38	0.02	6573300
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.70	0.02	8232750
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.61	0.01	12606150
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.32	0.01	9519300
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.60	0.00	31002300
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.67	0.02	4406550
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.45	0.00	32725950
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.62	0.02	1866450
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.71	0.01	2265750
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
