rank	precision	recall	accuracy	misclassification rate	percent assigned bases	tool
class	88.43	40.51	47.49	1.46	50.7139042461	lonely_davinci_4
order	81.53	38.69	45.37	1.94	48.676417666	lonely_davinci_4
family	59.20	33.21	38.69	3.79	47.0310019693	lonely_davinci_4
genus	16.15	19.11	26.51	7.32	42.2229021797	lonely_davinci_4
species	0.63	2.42	3.17	14.53	32.7586773327	lonely_davinci_4
superkingdom	99.71	1.91	1.77	0.00	100.0	evil_yalow_0
phylum	99.73	2.16	1.72	0.00	99.9281738339	evil_yalow_0
class	99.64	1.86	1.60	0.00	97.1491907196	evil_yalow_0
order	99.34	1.51	1.49	0.00	90.5303931566	evil_yalow_0
family	97.46	1.15	1.35	0.01	84.1695258451	evil_yalow_0
genus	87.78	0.55	0.70	0.07	76.8886138379	evil_yalow_0
species	16.67	0.03	0.05	0.03	41.5634550753	evil_yalow_0
superkingdom	98.93	86.86	81.66	0.09	100.0	lonely_davinci_5
phylum	97.98	40.02	50.63	0.59	81.3781148868	lonely_davinci_5
class	88.74	40.89	47.97	1.34	50.922741245	lonely_davinci_5
order	84.17	39.16	45.81	1.84	49.0191557896	lonely_davinci_5
family	62.05	33.52	39.55	3.48	47.3630729995	lonely_davinci_5
genus	16.88	19.08	27.57	6.91	42.7531471038	lonely_davinci_5
species	0.66	2.42	3.88	14.34	33.2545360743	lonely_davinci_5
superkingdom	99.34	98.13	96.43	0.41	100.0	prickly_fermi_2
phylum	85.08	64.87	94.44	1.23	96.6315007627	prickly_fermi_2
class	80.23	72.75	92.35	2.17	95.4535804091	prickly_fermi_2
order	81.78	72.62	90.66	3.14	94.3174142006	prickly_fermi_2
family	80.21	67.07	84.22	7.62	93.5992742161	prickly_fermi_2
genus	38.23	45.45	64.64	23.38	91.6315111747	prickly_fermi_2
species	1.41	5.24	11.69	61.80	87.3106150042	prickly_fermi_2
superkingdom	99.55	86.60	80.80	0.07	100.0	lonely_davinci_1
phylum	84.00	39.70	49.94	0.71	80.5045049886	lonely_davinci_1
class	88.12	40.70	47.21	1.51	50.339864178	lonely_davinci_1
order	78.83	38.79	45.28	1.90	48.4184413133	lonely_davinci_1
family	55.91	33.40	38.14	3.81	46.8857253687	lonely_davinci_1
genus	16.39	18.99	26.62	7.06	41.6697937931	lonely_davinci_1
species	0.65	2.43	3.12	15.50	32.4749767294	lonely_davinci_1
superkingdom	99.72	99.81	99.90	0.00	100.0	modest_babbage_3
phylum	99.57	96.37	99.68	0.13	100.0	modest_babbage_3
class	97.71	96.38	98.36	0.96	99.8745268892	modest_babbage_3
order	92.31	94.37	97.26	1.63	99.3523480243	modest_babbage_3
family	88.59	85.81	92.05	4.55	98.9073149869	modest_babbage_3
genus	65.30	54.69	66.76	23.20	96.5573612444	modest_babbage_3
species	12.07	11.13	19.35	55.42	89.4850340751	modest_babbage_3
