instance	class	precision	recall	predicted class size	real class size
species	Porphyromonas crevioricanis	1.00	0.99	2032579	2044131
species	[Eubacterium] yurii	0.97	0.73	1936239	2550032
species	Cellulomonas terrae	0.63	0.25	1827782	4652222
species	Acholeplasma oculi	1.00	1.00	1597924	1600014
species	Picrophilus oshimae	1.00	1.00	1534116	1534116
species	Lutispora thermophila	0.64	0.22	1183654	3459146
species	Salinicoccus kunmingensis	0.38	0.09	613763	2645012
species	Alysiella filiformis	0.39	0.18	193211	424499
species	Prevotella oulorum	0.32	0.05	112968	738955
species	unassigned	nan	nan	212886335	185124110
